name,serving_size,calories,total_fat,cholesterol,sodium,protein,carbohydrate,fiber,sugars
"Guava sauce, cooked",100 g,36,0.1g,0,4.00 mg,0.32 g,9.48 g,3.6 g,5.88 g
"Pumpkin leaves, raw",100 g,19,0.4g,0,11.00 mg,3.15 g,2.33 g,0,0
"Melons, raw, casaba",100 g,28,0.1g,0,9.00 mg,1.11 g,6.58 g,0.9 g,5.69 g
"Melon balls, frozen",100 g,33,0.3g,0,31.00 mg,0.84 g,7.94 g,0.7 g,0
"Fish oil, cod liver",100 g,902,100g,570mg,0.00 mg,0.00 g,0.00 g,0.0 g,0
"Nuts, dried, acorns",100 g,509,31g,0,0.00 mg,8.10 g,53.66 g,0,0
"Rolls, pumpernickel",100 g,276,2.8g,0,492.00 mg,10.80 g,51.87 g,5.4 g,0.40 g
"Gravy, dry, chicken",100 g,381,9.7g,19mg,4152.00 mg,11.27 g,62.09 g,0,0
"Fish, raw, tilefish",100 g,96,2.3g,50mg,53.00 mg,17.50 g,0.00 g,0.0 g,0
"Ice creams, vanilla",100 g,207,11g,44mg,80.00 mg,3.50 g,23.60 g,0.7 g,21.22 g
"SILK Plain, soymilk",100 g,41,1.7g,0,49.00 mg,2.88 g,3.29 g,0.4 g,2.47 g
"Cabbage, raw, savoy",100 g,27,0.1g,0,28.00 mg,2.00 g,6.10 g,3.1 g,2.27 g
"Fish, raw, tilapia",100 g,96,1.7g,50mg,52.00 mg,20.08 g,0.00 g,0.0 g,0.00 g
"Broccoli raab, raw",100 g,22,0.5g,0,33.00 mg,3.17 g,2.85 g,2.7 g,0.38 g
"Corn grain, yellow",100 g,365,4.7g,0,35.00 mg,9.42 g,74.26 g,7.3 g,0.64 g
"Turtle, raw, green",100 g,89,0.5g,50mg,68.00 mg,19.80 g,0.00 g,0.0 g,0.00 g
"Chicory roots, raw",100 g,72,0.2g,0,50.00 mg,1.40 g,17.51 g,1.5 g,8.73 g
Ice cream sandwich,100 g,237,8.6g,21mg,129.00 mg,4.29 g,37.14 g,0.0 g,18.57 g
"Croutons, seasoned",100 g,465,18g,7mg,1089.00 mg,10.80 g,63.50 g,5.0 g,4.41 g
"Snacks, taro chips",100 g,498,25g,0,342.00 mg,2.30 g,68.10 g,7.2 g,3.82 g
"Prickly pears, raw",100 g,41,0.5g,0,5.00 mg,0.73 g,9.57 g,3.6 g,0
"Fish, raw, haddock",100 g,74,0.5g,54mg,213.00 mg,16.32 g,0.00 g,0.0 g,0.00 g
"Liver cheese, pork",100 g,304,26g,174mg,1225.00 mg,15.20 g,2.10 g,0.0 g,0
"Ground turkey, raw",100 g,148,7.7g,69mg,58.00 mg,19.66 g,0.00 g,0.0 g,0.00 g
Jams and preserves,100 g,278,0.1g,0,32.00 mg,0.37 g,68.86 g,1.1 g,48.50 g
"Carrots, raw, baby",100 g,35,0.1g,0,78.00 mg,0.64 g,8.24 g,2.9 g,4.76 g
"Oil, nutmeg butter",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Semolina, enriched",100 g,360,1.1g,0,1.00 mg,12.68 g,72.83 g,3.9 g,0
"Spices, anise seed",100 g,337,16g,0,16.00 mg,17.60 g,50.02 g,14.6 g,0
"Snacks, corn cakes",100 g,387,2.4g,0,488.00 mg,8.10 g,83.40 g,1.9 g,23.47 g
"Catsup, low sodium",100 g,101,0.1g,0,20.00 mg,1.04 g,27.40 g,0.3 g,21.27 g
"Croissants, cheese",100 g,414,21g,57mg,361.00 mg,9.20 g,47.00 g,2.6 g,11.35 g
"Milk, fluid, sheep",100 g,108,7g,27mg,44.00 mg,5.98 g,5.36 g,0.0 g,0
"Acerola juice, raw",100 g,23,0.3g,0,3.00 mg,0.40 g,4.80 g,0.3 g,4.50 g
"Jute, raw, potherb",100 g,34,0.3g,0,8.00 mg,4.65 g,5.80 g,0,0
"Fast food, biscuit",100 g,370,19g,2mg,979.00 mg,7.08 g,42.82 g,2.5 g,3.88 g
"Bagels, multigrain",100 g,241,1.2g,6mg,359.00 mg,9.90 g,47.47 g,6.2 g,8.66 g
"Beef, dried, cured",100 g,153,1.9g,79mg,2790.00 mg,31.10 g,2.76 g,0.0 g,2.70 g
"Nuts, almond paste",100 g,458,28g,0,9.00 mg,9.00 g,47.81 g,4.8 g,36.25 g
"Seaweed, raw, kelp",100 g,43,0.6g,0,233.00 mg,1.68 g,9.57 g,1.3 g,0.60 g
"Seaweed, raw, agar",100 g,26,0g,0,9.00 mg,0.54 g,6.75 g,0.5 g,0.28 g
"Fish oil, menhaden",100 g,902,100g,521mg,0.00 mg,0.00 g,0.00 g,0.0 g,0
"Rolls, egg, dinner",100 g,307,6.4g,50mg,566.00 mg,9.50 g,52.00 g,3.7 g,4.30 g
"Bread, white wheat",100 g,238,2.2g,0,478.00 mg,10.66 g,43.91 g,9.2 g,5.00 g
"Onions, raw, sweet",100 g,32,0.1g,0,8.00 mg,0.80 g,7.55 g,0.9 g,5.02 g
"Onions, raw, welsh",100 g,34,0.4g,0,17.00 mg,1.90 g,6.50 g,2.4 g,2.18 g
"SILK Chai, soymilk",100 g,53,1.4g,0,41.00 mg,2.47 g,7.82 g,0.0 g,5.76 g
"Rolls, rye, dinner",100 g,286,3.4g,0,650.00 mg,10.30 g,53.10 g,4.9 g,1.17 g
"Gravy, dry, au jus",100 g,313,9.6g,4mg,11588.00 mg,9.20 g,47.49 g,0,0
"Cheese, neufchatel",100 g,253,23g,74mg,334.00 mg,9.15 g,3.59 g,0.0 g,3.19 g
"Hummus, commercial",100 g,166,9.6g,0,379.00 mg,7.90 g,14.29 g,6.0 g,0
"Croissants, butter",100 g,406,21g,67mg,467.00 mg,8.20 g,45.80 g,2.6 g,11.26 g
"Carrot, dehydrated",100 g,341,1.5g,0,275.00 mg,8.10 g,79.57 g,23.6 g,38.82 g
"Vinegar, distilled",100 g,18,0g,0,2.00 mg,0.00 g,0.04 g,0.0 g,0.04 g
"Sapote, raw, mamey",100 g,124,0.5g,0,7.00 mg,1.45 g,32.10 g,5.4 g,20.14 g
"Soy flour, low-fat",100 g,372,8.9g,0,9.00 mg,49.81 g,30.63 g,16.0 g,9.33 g
"Syrups, sugar free",100 g,52,0g,0,210.00 mg,0.80 g,12.13 g,0.7 g,0.01 g
"Syrups, dark, corn",100 g,286,0g,0,155.00 mg,0.00 g,77.59 g,0.0 g,77.59 g
"Taco shells, baked",100 g,476,22g,0,324.00 mg,6.41 g,63.49 g,6.7 g,1.50 g
"Spices, cumin seed",100 g,375,22g,0,168.00 mg,17.81 g,44.24 g,10.5 g,2.25 g
"Bamboo shoots, raw",100 g,27,0.3g,0,4.00 mg,2.60 g,5.20 g,2.2 g,3.00 g
"Fish, raw, lingcod",100 g,85,1.1g,52mg,59.00 mg,17.66 g,0.00 g,0.0 g,0
"Whey, dried, sweet",100 g,353,1.1g,6mg,1079.00 mg,12.93 g,74.46 g,0.0 g,74.46 g
"Whey, fluid, sweet",100 g,27,0.4g,2mg,54.00 mg,0.85 g,5.14 g,0.0 g,5.14 g
"Spices, poppy seed",100 g,525,42g,0,26.00 mg,17.99 g,28.13 g,19.5 g,2.99 g
"Babyfood, pretzels",100 g,397,2g,0,269.00 mg,10.80 g,82.20 g,2.3 g,3.08 g
"Fat, mutton tallow",100 g,902,100g,102mg,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Coffeecake, cheese",100 g,339,15g,85mg,339.00 mg,7.00 g,44.30 g,1.0 g,0
"Sauce, horseradish",100 g,503,51g,50mg,730.00 mg,1.09 g,10.05 g,1.0 g,8.98 g
"Yardlong bean, raw",100 g,47,0.4g,0,4.00 mg,2.80 g,8.35 g,0,0
"Cress, raw, garden",100 g,32,0.7g,0,14.00 mg,2.60 g,5.50 g,1.1 g,4.40 g
"Dates, deglet noor",100 g,282,0.4g,0,2.00 mg,2.45 g,75.03 g,8.0 g,63.35 g
"Lambsquarters, raw",100 g,43,0.8g,0,43.00 mg,4.20 g,7.30 g,4.0 g,0
"Gravy, dry, turkey",100 g,367,7.2g,14mg,4392.00 mg,10.42 g,65.12 g,0,0
Vital wheat gluten,100 g,370,1.9g,0,29.00 mg,75.16 g,13.79 g,0.6 g,0.00 g
"Turnip greens, raw",100 g,32,0.3g,0,40.00 mg,1.50 g,7.13 g,3.2 g,0.81 g
"Sugars, granulated",100 g,387,0g,0,1.00 mg,0.00 g,99.98 g,0.0 g,99.80 g
"Frankfurter, pork",100 g,269,24g,66mg,816.00 mg,12.81 g,0.28 g,0.1 g,0.00 g
"Pomegranates, raw",100 g,83,1.2g,0,3.00 mg,1.67 g,18.70 g,4.0 g,13.67 g
"Pears, raw, asian",100 g,42,0.2g,0,0.00 mg,0.50 g,10.65 g,3.6 g,7.05 g
"Cookies, molasses",100 g,430,13g,0,459.00 mg,5.60 g,73.80 g,1.0 g,17.60 g
"Cookies, fig bars",100 g,348,7.3g,0,350.00 mg,3.70 g,70.90 g,4.6 g,46.36 g
Liverwurst spread,100 g,305,25g,118mg,700.00 mg,12.38 g,5.89 g,2.5 g,1.65 g
Roast beef spread,100 g,223,16g,70mg,724.00 mg,15.27 g,3.73 g,0.2 g,0.71 g
"Chard, raw, swiss",100 g,19,0.2g,0,213.00 mg,1.80 g,3.74 g,1.6 g,1.10 g
"Goose, raw, liver",100 g,133,4.3g,515mg,140.00 mg,16.37 g,6.32 g,0.0 g,0
"TACO BELL, Nachos",100 g,350,22g,3mg,313.00 mg,4.32 g,34.91 g,3.2 g,2.17 g
"Sausage, meatless",100 g,255,18g,0,888.00 mg,20.28 g,8.09 g,2.8 g,0.00 g
"Frankfurter, meat",100 g,290,26g,77mg,1090.00 mg,10.26 g,4.17 g,0.0 g,0
"Rice flour, brown",100 g,363,2.8g,0,8.00 mg,7.23 g,76.48 g,4.6 g,0.66 g
"Peppermint, fresh",100 g,70,0.9g,0,31.00 mg,3.75 g,14.89 g,8.0 g,0
"Vinegar, red wine",100 g,19,0g,0,8.00 mg,0.04 g,0.27 g,0.0 g,0.00 g
"Vinegar, balsamic",100 g,88,0g,0,23.00 mg,0.49 g,17.03 g,0,14.95 g
"Luxury loaf, pork",100 g,141,4.8g,36mg,1225.00 mg,18.40 g,4.90 g,0.0 g,0
"Rye flour, medium",100 g,349,1.5g,0,2.00 mg,10.88 g,75.43 g,11.8 g,1.10 g
"DENNY'S, coleslaw",100 g,183,15g,23mg,376.00 mg,0.97 g,10.88 g,1.3 g,8.16 g
"Bread, wheat bran",100 g,248,3.4g,0,486.00 mg,8.80 g,47.80 g,4.0 g,9.68 g
"Croissants, apple",100 g,254,8.7g,31mg,274.00 mg,7.40 g,37.10 g,2.5 g,0
"Candies, Tamarind",100 g,368,0g,0,1643.00 mg,0.00 g,91.96 g,2.5 g,78.57 g
"Oheloberries, raw",100 g,28,0.2g,0,1.00 mg,0.38 g,6.84 g,0,0
"PACE, Salsa Verde",100 g,47,1.6g,0,719.00 mg,0.00 g,6.25 g,0.0 g,6.25 g
Barley malt flour,100 g,361,1.8g,0,11.00 mg,10.28 g,78.30 g,7.1 g,0.80 g
"Rice noodles, dry",100 g,364,0.6g,0,182.00 mg,5.95 g,80.18 g,1.6 g,0.12 g
"Fish oil, sardine",100 g,902,100g,710mg,0.00 mg,0.00 g,0.00 g,0.0 g,0
"Fish oil, herring",100 g,902,100g,766mg,0.00 mg,0.00 g,0.00 g,0.0 g,0
"Plantains, cooked",100 g,116,0.2g,0,5.00 mg,0.79 g,31.15 g,2.3 g,14.00 g
"Burdock root, raw",100 g,72,0.2g,0,5.00 mg,1.53 g,17.34 g,3.3 g,2.90 g
"Butterbur, canned",100 g,3,0.1g,0,4.00 mg,0.11 g,0.38 g,0,0
"Ostrich, raw, fan",100 g,117,2.7g,73mg,75.00 mg,21.81 g,0.00 g,0.0 g,0.00 g
"SILK Nog, soymilk",100 g,74,1.6g,0,61.00 mg,2.46 g,12.30 g,0.0 g,9.84 g
"Gravy, dry, brown",100 g,367,9.6g,3mg,4843.00 mg,10.74 g,59.38 g,2.0 g,0
"Cheese, provolone",100 g,351,27g,69mg,876.00 mg,25.58 g,2.14 g,0.0 g,0.56 g
"Cheese, roquefort",100 g,369,31g,90mg,1809.00 mg,21.54 g,2.00 g,0.0 g,0
"Muffins, oat bran",100 g,270,7.4g,0,393.00 mg,7.00 g,48.30 g,4.6 g,8.22 g
"Syrups, grenadine",100 g,268,0g,0,27.00 mg,0.00 g,66.91 g,0.0 g,46.55 g
"Raisins, seedless",100 g,299,0.5g,0,11.00 mg,3.07 g,79.18 g,3.7 g,59.19 g
"Strawberries, raw",100 g,32,0.3g,0,1.00 mg,0.67 g,7.68 g,2.0 g,4.89 g
"Fish, raw, burbot",100 g,90,0.8g,60mg,97.00 mg,19.31 g,0.00 g,0.0 g,0
"Wheat germ, crude",100 g,360,9.7g,0,12.00 mg,23.15 g,51.80 g,13.2 g,0
"Wheat, hard white",100 g,342,1.7g,0,2.00 mg,11.31 g,75.90 g,12.2 g,0.41 g
"Wheat bran, crude",100 g,216,4.3g,0,2.00 mg,15.55 g,64.51 g,42.8 g,0.41 g
"Gooseberries, raw",100 g,44,0.6g,0,1.00 mg,0.88 g,10.18 g,4.3 g,0
"Spices, dill seed",100 g,305,15g,0,20.00 mg,15.98 g,55.17 g,21.1 g,0
"Oil, cocoa butter",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"APPLEBEE'S, chili",100 g,157,9.8g,45mg,381.00 mg,12.56 g,4.57 g,1.4 g,2.27 g
"Grape leaves, raw",100 g,93,2.1g,0,9.00 mg,5.60 g,17.31 g,11.0 g,6.30 g
"Kale, raw, scotch",100 g,42,0.6g,0,70.00 mg,2.80 g,8.32 g,1.7 g,0
"Marmalade, orange",100 g,246,0g,0,56.00 mg,0.30 g,66.30 g,0.7 g,60.00 g
"Whey, dried, acid",100 g,339,0.5g,3mg,968.00 mg,11.73 g,73.45 g,0.0 g,73.45 g
"Whey, fluid, acid",100 g,24,0.1g,1mg,48.00 mg,0.76 g,5.12 g,0.0 g,5.12 g
"Eggplant, pickled",100 g,49,0.7g,0,1674.00 mg,0.90 g,9.77 g,2.5 g,4.80 g
"Babyfood, cookies",100 g,433,13g,12mg,300.00 mg,11.80 g,67.10 g,0.2 g,24.20 g
"Fennel, raw, bulb",100 g,31,0.2g,0,52.00 mg,1.24 g,7.30 g,3.1 g,3.93 g
"Egg, dried, whole",100 g,592,44g,1630mg,476.00 mg,48.05 g,1.13 g,0.0 g,0.56 g
"Coffeecake, fruit",100 g,311,10g,7mg,385.00 mg,5.20 g,51.50 g,2.5 g,0
"Candies, caramels",100 g,382,8.1g,7mg,245.00 mg,4.60 g,77.00 g,0.0 g,65.50 g
"Sour cream, light",100 g,136,11g,35mg,83.00 mg,3.50 g,7.10 g,0.0 g,0.22 g
"Egg, dried, white",100 g,382,0g,0,1280.00 mg,81.10 g,7.80 g,0.0 g,5.40 g
"Wild rice, cooked",100 g,101,0.3g,0,3.00 mg,3.99 g,21.34 g,1.8 g,0.73 g
"Chicken, meatless",100 g,224,13g,0,709.00 mg,23.64 g,3.64 g,3.6 g,0.00 g
"Corn grain, white",100 g,365,4.7g,0,35.00 mg,9.42 g,74.26 g,0,0
"Veal, raw, ground",100 g,197,13g,49mg,103.00 mg,18.58 g,0.00 g,0.0 g,0.00 g
"Wheat, soft white",100 g,340,2g,0,2.00 mg,10.69 g,75.36 g,12.7 g,0.41 g
"Elderberries, raw",100 g,73,0.5g,0,6.00 mg,0.66 g,18.40 g,7.0 g,0
"Nuts, raw, acorns",100 g,387,24g,0,0.00 mg,6.15 g,40.75 g,0,0
"Orange juice, raw",100 g,45,0.2g,0,1.00 mg,0.70 g,10.40 g,0.2 g,8.40 g
"POPEYES, Coleslaw",100 g,161,11g,7mg,218.00 mg,0.98 g,14.12 g,1.7 g,10.83 g
"Cabbage, raw, red",100 g,31,0.2g,0,27.00 mg,1.43 g,7.37 g,2.1 g,3.83 g
"Blackberries, raw",100 g,43,0.5g,0,1.00 mg,1.39 g,9.61 g,5.3 g,4.88 g
"Wasabi, raw, root",100 g,109,0.6g,0,17.00 mg,4.80 g,23.54 g,7.8 g,0
"Cheese, limburger",100 g,327,27g,90mg,800.00 mg,20.05 g,0.49 g,0.0 g,0.49 g
"Raspberries, raw",100 g,52,0.7g,0,1.00 mg,1.20 g,11.94 g,6.5 g,4.42 g
"Corn bran, crude",100 g,224,0.9g,0,7.00 mg,8.36 g,85.64 g,79.0 g,0.00 g
"Bread, rice bran",100 g,243,4.6g,0,269.00 mg,8.90 g,43.50 g,4.9 g,4.67 g
"Taro shoots, raw",100 g,11,0.1g,0,1.00 mg,0.92 g,2.32 g,0,0
"Sugars, powdered",100 g,389,0g,0,2.00 mg,0.00 g,99.77 g,0.0 g,97.81 g
"Emu, raw, ground",100 g,134,4g,69mg,56.00 mg,22.77 g,0.00 g,0.0 g,0.00 g
"Cookies, fortune",100 g,378,2.7g,2mg,31.00 mg,4.20 g,84.00 g,1.6 g,45.42 g
"Fish, raw, cisco",100 g,98,1.9g,50mg,55.00 mg,18.99 g,0.00 g,0.0 g,0
"Couscous, cooked",100 g,112,0.2g,0,5.00 mg,3.79 g,23.22 g,1.4 g,0.10 g
"Dill weed, fresh",100 g,43,1.1g,0,61.00 mg,3.46 g,7.02 g,2.1 g,0
"Spearmint, dried",100 g,285,6g,0,344.00 mg,19.93 g,52.04 g,29.8 g,0
"Spearmint, fresh",100 g,44,0.7g,0,30.00 mg,3.29 g,8.41 g,6.8 g,0
Tamales (Navajo),100 g,153,6.1g,17mg,427.00 mg,6.28 g,18.12 g,3.1 g,0.99 g
"Rice bran, crude",100 g,316,21g,0,5.00 mg,13.35 g,49.69 g,21.0 g,0.90 g
"Rye flour, light",100 g,357,1.3g,0,2.00 mg,9.82 g,76.68 g,8.0 g,0.93 g
"Spices, bay leaf",100 g,313,8.4g,0,23.00 mg,7.61 g,74.97 g,26.3 g,0
"Spices, cardamom",100 g,311,6.7g,0,18.00 mg,10.76 g,68.47 g,28.0 g,0
"Lemon juice, raw",100 g,22,0.2g,0,1.00 mg,0.35 g,6.90 g,0.3 g,2.52 g
"Ginger root, raw",100 g,80,0.8g,0,13.00 mg,1.82 g,17.77 g,2.0 g,1.70 g
"Fish oil, salmon",100 g,902,100g,485mg,0.00 mg,0.00 g,0.00 g,0.0 g,0
"Fish, tuna salad",100 g,187,9.3g,13mg,402.00 mg,16.04 g,9.41 g,0.0 g,0
"Orange peel, raw",100 g,97,0.2g,0,3.00 mg,1.50 g,25.00 g,10.6 g,0
"Blueberries, raw",100 g,57,0.3g,0,1.00 mg,0.74 g,14.49 g,2.4 g,9.96 g
"Cheese, muenster",100 g,368,30g,96mg,628.00 mg,23.41 g,1.12 g,0.0 g,1.12 g
"Beet greens, raw",100 g,22,0.1g,0,226.00 mg,2.20 g,4.33 g,3.7 g,0.50 g
"Cheese, cheshire",100 g,387,31g,103mg,700.00 mg,23.37 g,4.78 g,0.0 g,0
"Bagels, oat bran",100 g,255,1.2g,0,590.00 mg,10.70 g,53.30 g,3.6 g,1.63 g
"Fat, beef tallow",100 g,902,100g,109mg,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Clementines, raw",100 g,47,0.2g,0,1.00 mg,0.85 g,12.02 g,1.7 g,9.18 g
"Peas, raw, green",100 g,81,0.4g,0,5.00 mg,5.42 g,14.45 g,5.7 g,5.67 g
"Oat bran, cooked",100 g,40,0.9g,0,1.00 mg,3.21 g,11.44 g,2.6 g,0
"Pears, bosc, raw",100 g,67,0.1g,0,1.00 mg,0.36 g,16.10 g,3.1 g,10.23 g
"Sugar, turbinado",100 g,399,0g,0,0,0.00 g,99.80 g,0,99.19 g
"Headcheese, pork",100 g,157,11g,69mg,941.00 mg,13.83 g,0.00 g,0.0 g,0.00 g
Ham salad spread,100 g,216,16g,37mg,1075.00 mg,8.68 g,10.64 g,0.0 g,0.00 g
"Olive loaf, pork",100 g,235,17g,38mg,964.00 mg,11.80 g,9.20 g,0.0 g,0.00 g
"Pastrami, turkey",100 g,139,6.2g,68mg,1123.00 mg,16.30 g,3.34 g,0.1 g,3.34 g
"Cranberries, raw",100 g,46,0.1g,0,2.00 mg,0.46 g,11.97 g,3.6 g,4.27 g
"POPEYES, biscuit",100 g,401,24g,2mg,745.00 mg,6.00 g,40.95 g,3.8 g,3.46 g
"Egg, dried, yolk",100 g,669,59g,2307mg,149.00 mg,33.63 g,0.66 g,0.0 g,0.23 g
"Quinoa, uncooked",100 g,368,6.1g,0,5.00 mg,14.12 g,64.16 g,7.0 g,0
"Emu, raw, oyster",100 g,141,4.9g,81mg,150.00 mg,22.81 g,0.00 g,0.0 g,0.00 g
"Rose-apples, raw",100 g,25,0.3g,0,0.00 mg,0.60 g,5.70 g,0,0
"Cheese, monterey",100 g,373,30g,89mg,600.00 mg,24.48 g,0.68 g,0.0 g,0.50 g
"Fish, raw, scup",100 g,105,2.7g,52mg,42.00 mg,18.88 g,0.00 g,0.0 g,0.00 g
"Cheese, cheddar",100 g,404,33g,99mg,653.00 mg,22.87 g,3.09 g,0.0 g,0.48 g
"Cheese, caraway",100 g,376,29g,93mg,690.00 mg,25.18 g,3.06 g,0.0 g,0
"Oil, wheat germ",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Bread, oat bran",100 g,236,4.4g,0,353.00 mg,10.40 g,39.80 g,4.5 g,7.70 g
"Watermelon, raw",100 g,30,0.2g,0,1.00 mg,0.61 g,7.55 g,0.4 g,6.20 g
Potato pancakes,100 g,268,15g,95mg,764.00 mg,6.08 g,27.81 g,3.3 g,1.79 g
Spinach souffle,100 g,172,13g,118mg,566.00 mg,7.89 g,5.90 g,0.7 g,1.85 g
"Bacon, meatless",100 g,309,30g,0,1465.00 mg,11.69 g,5.31 g,2.6 g,0.00 g
"Rosemary, fresh",100 g,131,5.9g,0,26.00 mg,3.31 g,20.70 g,14.1 g,0
"Syrups, sorghum",100 g,290,0g,0,8.00 mg,0.00 g,74.90 g,0.0 g,74.90 g
"Rye flour, dark",100 g,325,2.2g,0,2.00 mg,15.91 g,68.63 g,23.8 g,2.31 g
"Oil, tomatoseed",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Croutons, plain",100 g,407,6.6g,0,698.00 mg,11.90 g,73.50 g,5.1 g,0
"Lemon peel, raw",100 g,47,0.3g,0,6.00 mg,1.50 g,16.00 g,10.6 g,4.17 g
"Spices, paprika",100 g,282,13g,0,68.00 mg,14.14 g,53.99 g,34.9 g,10.34 g
"Nectarines, raw",100 g,44,0.3g,0,0.00 mg,1.06 g,10.55 g,1.7 g,7.89 g
"Mulberries, raw",100 g,43,0.4g,0,10.00 mg,1.44 g,9.80 g,1.7 g,8.10 g
"Lotus root, raw",100 g,74,0.1g,0,40.00 mg,2.60 g,17.23 g,4.9 g,0
"Sauce, barbecue",100 g,172,0.6g,0,1027.00 mg,0.82 g,40.77 g,0.9 g,33.24 g
"Fish, raw, spot",100 g,123,4.9g,60mg,29.00 mg,18.51 g,0.00 g,0.0 g,0
"Crabapples, raw",100 g,76,0.3g,0,1.00 mg,0.40 g,19.95 g,0,0
"Breadfruit, raw",100 g,103,0.2g,0,2.00 mg,1.07 g,27.12 g,4.9 g,11.00 g
Arrowroot flour,100 g,357,0.1g,0,2.00 mg,0.30 g,88.15 g,3.4 g,0
"Pimento, canned",100 g,23,0.3g,0,14.00 mg,1.10 g,5.10 g,1.9 g,2.71 g
"Tomatillos, raw",100 g,32,1g,0,1.00 mg,0.96 g,5.84 g,1.9 g,3.93 g
"Raisins, seeded",100 g,296,0.5g,0,28.00 mg,2.52 g,78.47 g,6.8 g,0
"Bologna, turkey",100 g,209,16g,75mg,1071.00 mg,11.42 g,4.68 g,0.5 g,2.90 g
Vanilla extract,100 g,288,0.1g,0,9.00 mg,0.06 g,12.65 g,0.0 g,12.65 g
"Fish, raw, carp",100 g,127,5.6g,66mg,49.00 mg,17.83 g,0.00 g,0.0 g,0.00 g
"Wheat, sprouted",100 g,198,1.3g,0,16.00 mg,7.49 g,42.53 g,1.1 g,0
"Fish, raw, cusk",100 g,87,0.7g,41mg,31.00 mg,18.99 g,0.00 g,0.0 g,0
"Watercress, raw",100 g,11,0.1g,0,41.00 mg,2.30 g,1.29 g,0.5 g,0.20 g
"Fish, raw, ling",100 g,87,0.6g,40mg,135.00 mg,18.99 g,0.00 g,0.0 g,0
"Bread, cinnamon",100 g,253,5.3g,0,388.00 mg,7.05 g,44.38 g,3.5 g,14.11 g
"Spices, saffron",100 g,310,5.9g,0,148.00 mg,11.43 g,65.37 g,3.9 g,0
"Lime juice, raw",100 g,25,0.1g,0,2.00 mg,0.42 g,8.42 g,0.4 g,1.69 g
"Spelt, uncooked",100 g,338,2.4g,0,8.00 mg,14.57 g,70.19 g,10.7 g,6.82 g
"Cabbage, kimchi",100 g,15,0.5g,0,498.00 mg,1.10 g,2.40 g,1.6 g,1.06 g
"Seeds, flaxseed",100 g,534,42g,0,30.00 mg,18.29 g,28.88 g,27.3 g,1.55 g
"Cheese, gruyere",100 g,413,32g,110mg,714.00 mg,29.81 g,0.36 g,0.0 g,0.36 g
"Cheese, gjetost",100 g,466,30g,94mg,600.00 mg,9.65 g,42.65 g,0.0 g,0
"Cheese, fontina",100 g,389,31g,116mg,800.00 mg,25.60 g,1.55 g,0.0 g,1.55 g
"Butter, salted",100 g,717,81g,215mg,643.00 mg,0.85 g,0.06 g,0.0 g,0.06 g
"Oil, rice bran",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Crackers, milk",100 g,446,14g,11mg,687.00 mg,7.60 g,71.73 g,3.4 g,10.32 g
"Dates, medjool",100 g,277,0.2g,0,1.00 mg,1.81 g,74.97 g,6.7 g,66.47 g
"Arrowroot, raw",100 g,65,0.2g,0,26.00 mg,4.24 g,13.39 g,1.3 g,0
"Bread, oatmeal",100 g,269,4.4g,0,447.00 mg,8.40 g,48.50 g,4.0 g,8.14 g
"Bread, italian",100 g,271,3.5g,0,550.00 mg,8.80 g,50.10 g,3.2 g,3.17 g
"Tamarinds, raw",100 g,239,0.6g,0,28.00 mg,2.80 g,62.50 g,5.1 g,38.80 g
"Millet, puffed",100 g,354,3.4g,0,5.00 mg,13.00 g,80.00 g,2.7 g,0.55 g
"Vinegar, cider",100 g,21,0g,0,5.00 mg,0.00 g,0.93 g,0.0 g,0.40 g
"Scrapple, pork",100 g,213,14g,49mg,482.00 mg,8.06 g,14.06 g,0.3 g,0.20 g
"Oil, poppyseed",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Oil, grapeseed",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Longans, dried",100 g,286,0.4g,0,48.00 mg,4.90 g,74.00 g,0,0
"Pectin, liquid",100 g,11,0g,0,0.00 mg,0.00 g,2.10 g,2.1 g,0.00 g
"Pretzels, soft",100 g,338,3.1g,0,545.00 mg,8.20 g,69.39 g,1.7 g,0.25 g
"Quinoa, cooked",100 g,120,1.9g,0,7.00 mg,4.40 g,21.30 g,2.8 g,0.87 g
"Plantains, raw",100 g,122,0.4g,0,4.00 mg,1.30 g,31.89 g,2.3 g,15.00 g
"Parsley, fresh",100 g,36,0.8g,0,56.00 mg,2.97 g,6.33 g,3.3 g,0.85 g
"Barley, hulled",100 g,354,2.3g,0,12.00 mg,12.48 g,73.48 g,17.3 g,0.80 g
"Cheese, romano",100 g,387,27g,104mg,1433.00 mg,31.80 g,3.63 g,0.0 g,0.73 g
Dulce de Leche,100 g,315,7.4g,29mg,129.00 mg,6.84 g,55.35 g,0.0 g,49.74 g
